chance_id,business_unit,org_country,pricelist,final_status,final_amount,days_active,cluster,cluster_label,forecast_prob_won,pred_total_days,pred_days_remaining,expected_revenue,pipeline_at_risk
a35375462f0f89a3,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,98.49392076768088,1.1574074074074072e-05,1,C1: Active Pipeline,,59.25584,59.2558287274396,,
a360f1a871df720b,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,212.02522749452675,3.472222222222222e-05,1,C1: Active Pipeline,,29.981153,29.98111876593696,,
a361f699fe7f11fa,1cdd086394501fee,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,1.170863568534039,1.1574074074074072e-05,1,C1: Active Pipeline,,80.747765,80.74775301332826,,
a3625e21fcb2dfea,ef9b14cf5a29c54a,6b7e1f5b521de19b,,Open,4446970.613883784,89.79605324074075,3,C3: Large Open,0.15,243.837,154.04095237449363,667045.5920825676,3779925.0218012165
a3794e530197d53e,9387d1da6d5967e1,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,7462.80698704363,1.1574074074074072e-05,0,C0: High-Win,,82.252,82.25198732729311,,
a3826ac1fb6b5336,9387d1da6d5967e1,6b7e1f5b521de19b,,Open,1.170863568534039,7.032141203703704,1,C1: Active Pipeline,,64.84442,57.81228018301505,,
a38cbb16a5241a17,ac2a5ee6878db2c2,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,3337.7723917894755,35.2658912037037,2,C2: High-Win,,87.457695,52.191803803620516,,
a3a29bd102801e42,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,98.49392076768088,1.1574074074074072e-05,1,C1: Active Pipeline,,61.689705,61.68969332094546,,
a3af2952ac01accf,9387d1da6d5967e1,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,1533.613143677902,2.3148148148148147e-05,1,C1: Active Pipeline,,37.689064,37.68904087773076,,
a3b96f533a6b1972,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,1.170863568534039,1.1574074074074072e-05,1,C1: Active Pipeline,,50.12295,50.12293993349429,,
a3c5fbb1e23c2870,9387d1da6d5967e1,6b7e1f5b521de19b,,Open,5083.8994500666495,0.0006944444444444,3,C3: Large Open,,53.6571,53.65640623304579,,
a3d9d7b879622f28,4928d3c96935fb3f,6b7e1f5b521de19b,,Open,5083.8994500666495,194.2212847222222,3,C3: Large Open,,140.68498,0.0,,
a3dfcbacee0ea91e,a66943a59bca7bfd,75c64824a2a4e380,28c9c64e5918b06e,Open,1.170863568534039,2.3148148148148147e-05,1,C1: Active Pipeline,,50.43312,50.43309757939092,,
a3faa6eec33ad45f,ac2a5ee6878db2c2,6b7e1f5b521de19b,,Open,1.170863568534039,435.07011574074073,1,C1: Active Pipeline,0.078,60.57665,0.0,0.09132735834565504,1.0795362101883839
