responsible,n_deals,actual_wr,expected_wr,total_amount_M,outperformance
3cd5fda50d9bce36,55,0.9090909090909091,0.90288293,3.358095392513518,0.006207975474270877
68bf59b8fd0fb2e1,41,0.6341463414634146,0.6322101,4.637065802011856,0.0019362656081595153
ab987ee5a947e773,49,0.20408163265306123,0.2033193,1.4299217449104862,0.0007623364122546494
1473b4c4163229d8,242,0.6818181818181818,0.6814812,74.72066114813312,0.00033699924295593764
62352ad8ceef796d,235,0.4765957446808511,0.47631472,11.989446746163956,0.0002810211891823844
4dcd3aa7e2fa59c8,16,0.5625,0.56222117,3.0275437984101017,0.00027883052825927734
4e75da91ce610cbd,17,0.4117647058823529,0.41149467,13.284774577252794,0.0002700335839215251
460692f0a788d8fc,31,0.5483870967741935,0.5481724,1.4770859866586072,0.00021468247136757768
7b53bab77b82718a,165,0.8181818181818182,0.818004,16.41228914634369,0.0001778060739691112
436db10e22d2a62d,62,0.1935483870967742,0.19338384,11.398358400193434,0.00016454439009389032
9d7611aa2d3ef3e7,67,0.5223880597014925,0.5222251,46.14132286852485,0.00016297778086871162
b8a74afe21de04cc,126,0.4603174603174603,0.46019822,133.51955334857132,0.00011923672660946183
0ba9c21efae328f5,54,0.3148148148148148,0.31471115,1.3726032645806565,0.00010366130758215908
8b847baf9ccb1101,49,0.5102040816326531,0.5101051,2.5645299496243137,9.900818065722294e-05
03823f0d2250272c,16,0.5,0.49990457,3.254822128461088,9.542703628540039e-05
f4a297e5a381c270,31,0.5161290322580645,0.5160365,8.920397375559501,9.252179053520493e-05
67b08d5ce4e97a8a,109,0.5688073394495413,0.5687209,2.4402806906986676,8.646227897857184e-05
66fed54cd134737f,42,0.38095238095238093,0.38086712,30.429906914401908,8.525734856013045e-05
5ba828513a3124aa,394,0.8071065989847716,0.8070219,10.658915793507346,8.468307214337667e-05
d9bf88ee558c3451,259,0.38996138996138996,0.38988596,10.329328335100772,7.54279519600276e-05
7810aaa006f2c6e8,115,0.48695652173913045,0.48688418,7.22925834714416,7.234500802083543e-05
1d1184b703d3be2c,888,0.838963963963964,0.8388923,67.67031817048469,7.168290851355952e-05
5d53985722b18c63,184,0.6956521739130435,0.69558316,11.05373759817274,6.900922111841012e-05
49698b2da59d2793,204,0.2696078431372549,0.26953974,11.704235836053643,6.809947537439465e-05
9c01581fe36a30a5,1074,0.4227188081936685,0.4226528,40.501716977742106,6.599738167206715e-05
d8899a581b469ab1,43,0.4883720930232558,0.48830774,0.03783628086172392,6.434875865313217e-05
0df50dd4722ef131,1441,0.8348369188063844,0.8347754,133.46814170034656,6.153056557023362e-05
73c682dc5a74ff53,97,0.4742268041237113,0.4741653,13.822363344374525,6.15135296103686e-05
e91fd0043ca578da,66,0.7878787878787878,0.787819,2.6703051602753263,5.9759978092044364e-05
53135d0d81419d7a,147,0.5850340136054422,0.5849813,23.16959841697161,5.269131692897666e-05
2c331c2b11c9a33f,191,0.9790575916230366,0.9790062,0.5100052802201959,5.142039653516228e-05
b7f9c802c9c2c3e6,145,0.6413793103448275,0.64132893,2.3389260288856097,5.037949003017239e-05
