chance_id,business_unit,org_country,pricelist,amount,deal_age,seq_win_prob,seq_prob_slope,seq_prob_acceleration,seq_prob_momentum,seq_prob_max_drawdown,seq_prob_turning_pts,seq_prob_final_trend,seq_prob_vol_ratio,seq_stage_range,seq_stage_reversals,seq_stage_velocity,seq_amt_cv,seq_amt_trend,seq_max_gap,seq_gap_cv,seq_burst,seq_recent_frac
001e303a87a7e2be,5,6b7e1f5b521de19b,d4f34f97b6d22a81,1831.3315201273049,0,0.05550301,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
001e7a5151ff24c0,5,6b7e1f5b521de19b,d4f34f97b6d22a81,15972.889957950816,0,0.3349696,0.0,9.0,9.0,0.0,0,1,1.0,2.0,0,0.0,0.6455172537625747,15.721437087500501,0.0,0.0,3,1.0
003ba2054d7d12e2,3,6b7e1f5b521de19b,,5904.2113289495155,0,0.0037388129,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
003c407f17a994b6,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,1.170863568534039,197,0.012239309,1.0538608525755087e-16,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,162.0,1.8018874612051736,3,0.2857142857142857
00431ebe041c5df6,4,38080774be85927f,28c9c64e5918b06e,1.170863568534039,0,0.09774353,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
00498009cd467686,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,4528.9743595906375,0,0.9989273,0.0,-80.0,80.0,0.0,0,1,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,1.0
004ddea55262ae2c,4,b4d1bda83fb7745f,28c9c64e5918b06e,59820.408923654235,0,0.004379342,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
0064bd4b26020ee8,3,6b7e1f5b521de19b,,25102.753943361105,0,0.0012609427,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
0070efc1485bb975,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,48317.27233820542,290,0.0006651458,-0.15606588612831265,-0.1724137931034483,-50.0,50.0,0,-1,1.0206207261588158,0.0,0,0.0,0.10716080034166564,-0.24771547086871187,248.0,1.4174553072677567,3,0.2
007595db7bd39f16,4,75c64824a2a4e380,28c9c64e5918b06e,1317635.614295442,0,0.7639529,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
009f69464f862cc7,3,6b7e1f5b521de19b,d4f34f97b6d22a81,76633.73658175819,0,0.04628284,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
00a32d492f662e26,2,6b7e1f5b521de19b,d4f34f97b6d22a81,8436.024219032613,0,0.30380738,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
00a71a2e37b27bfd,3,6b7e1f5b521de19b,d4f34f97b6d22a81,9548.177348327423,570,0.97461534,0.009211404894556904,0.7670821965300493,17.0,97.0,2,0,3.777705084203378e-11,5.0,0,0.008771929824561403,0.2767435058572731,-0.7582815418158857,211.0,1.872979366666762,6,0.36363636363636365
00c3cd238d17934c,2,6b7e1f5b521de19b,,1.170863568534039,0,0.00077374466,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0
00e228ee65aea17e,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,98.49392076768089,13,0.071901985,-1.546086143163771e-16,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.4925922193963385,83.12074934656873,13.0,1.7320508070359384,3,0.4
00e65fc58d537ad8,2,6b7e1f5b521de19b,d4f34f97b6d22a81,2786.403823325963,0,0.64460206,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.9991599410232573,2378.785227082123,0.0,0.0,2,1.0
