org_id,n_deals,n_won,win_rate,avg_deal_value,total_revenue,org_country,pricelist,deal_rate_yr,clv_estimate
5343f32ba1caa737,684,460,0.672514619883041,814390.3733218844,329250955.3729179,6b7e1f5b521de19b,6f9a9c5f2856c8b3,114.0,124873190.57602228
0e8326ea14fff055,1115,905,0.8116591928251121,199607.00368015567,143962474.55960882,6b7e1f5b521de19b,6f9a9c5f2856c8b3,185.83333333333334,60214779.44351364
2d7554f5bf8d1482,298,277,0.9295302013422819,584229.382720165,139005655.04308665,6b7e1f5b521de19b,6f9a9c5f2856c8b3,49.666666666666664,53943846.33782856
d11d83fe5e17021b,259,213,0.8223938223938224,579871.5975039214,139973767.0239589,6b7e1f5b521de19b,6f9a9c5f2856c8b3,43.166666666666664,41170883.42277842
e91b7128462a6c3b,240,172,0.7166666666666667,508879.7240932049,96512770.37929685,6b7e1f5b521de19b,6f9a9c5f2856c8b3,40.0,29175770.848010417
fb9aa6b5578a2368,251,136,0.5418326693227091,519712.66369217855,67639604.50378324,6b7e1f5b521de19b,6f9a9c5f2856c8b3,41.833333333333336,23560307.420712095
1eb7832088f6686f,840,730,0.8690476190476191,83621.20499574562,43652321.46156341,6b7e1f5b521de19b,6f9a9c5f2856c8b3,140.0,20347826.54896477
4498d03d236e56b1,77,44,0.5714285714285714,1239084.559443435,71171841.24152865,6b7e1f5b521de19b,6f9a9c5f2856c8b3,12.833333333333334,18173240.205170378
f1a23b8047f72cfd,179,107,0.5977653631284916,493566.2607957898,66981205.38036117,6b7e1f5b521de19b,,29.833333333333332,17603863.301716503
a62ac3a3428b9dae,499,398,0.7975951903807615,120460.93271259057,36054910.182177566,6b7e1f5b521de19b,6f9a9c5f2856c8b3,83.16666666666667,15981150.406537019
1a618585be087497,83,65,0.7831325301204819,653303.9795936225,37546166.05536681,6b7e1f5b521de19b,6f9a9c5f2856c8b3,13.833333333333334,14154919.557861822
7ce7f665d455ebb6,188,152,0.8085106382978723,277565.48271210067,42654379.55599272,6b7e1f5b521de19b,6f9a9c5f2856c8b3,31.333333333333332,14063317.790746434
e0e1efdc0c20fb58,400,218,0.545,180108.01776831294,51681798.805712536,6b7e1f5b521de19b,6f9a9c5f2856c8b3,66.66666666666667,13087849.291164076
83f15719246a0923,95,48,0.5052631578947369,797524.5448662215,57712447.30349756,6b7e1f5b521de19b,6f9a9c5f2856c8b3,15.833333333333334,12760392.717859546
9fb0e455a4d9a202,25,18,0.72,1992603.3023343917,1467170.9620350068,6b7e1f5b521de19b,6f9a9c5f2856c8b3,4.166666666666667,11955619.814006351
70bed871409b3182,163,101,0.6196319018404908,330977.09210888325,44960375.88787711,6b7e1f5b521de19b,,27.166666666666668,11142895.434332402
ad453bb1d05d7e6f,75,55,0.7333333333333333,480297.4117260595,35753875.06411508,6b7e1f5b521de19b,6f9a9c5f2856c8b3,12.5,8805452.54831109
1ca3e039b042148d,103,51,0.49514563106796117,446437.40021624975,22186479.896586373,6b7e1f5b521de19b,d4f34f97b6d22a81,17.166666666666668,7589435.803676247
