chance_id,business_unit,org_country,pricelist,status,amount,deal_age,anomaly_raw
6b6999c2df2a928f,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,14094403.468499102,2169,-0.691480240215575
416642fe7438f76c,5,255414ab73601d72,d4f34f97b6d22a81,Lost,17169140.892666645,1552,-0.6913582235656306
5f596faa33b96ec4,4,b4d1bda83fb7745f,28c9c64e5918b06e,Open,1099438.5809573433,2224,-0.689509994876489
4e5bddbeea7b1996,5,6b7e1f5b521de19b,d4f34f97b6d22a81,Won,3987625.562487679,1763,-0.6757346379613907
dd1c9cc533c73d54,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,3826638.9138281774,265,-0.6717818557427588
7b764f50165d3f19,0,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,2525622.782437966,1743,-0.66970596836679
8f23ff363cd5fb0e,4,ad69d8c998aaf479,28c9c64e5918b06e,Open,963833.7763104266,2385,-0.6681372943604938
5b6d979dbc8fc901,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,124578.18788511904,1026,-0.6634351285333211
5c01677dcc369066,4,6b7e1f5b521de19b,28c9c64e5918b06e,Lost,403786.8490295444,1175,-0.660959253857531
34e484394c391b01,5,532ef57d231b606f,d4f34f97b6d22a81,Open,35111607.32348774,1263,-0.6600414073069533
318d088cd50dd7d0,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,47.32296795979548,22,-0.6588501809102209
25c0ebed638bf7b6,4,dccb341afdd3894f,28c9c64e5918b06e,Lost,5165579.915109996,19,-0.6561206126465315
ebc2779c5f893214,0,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,2107608.5960487663,219,-0.653107404065923
223550db63282a74,4,38080774be85927f,d4f34f97b6d22a81,Lost,681677.0916675114,1730,-0.6528427704447449
9ac68fa8688e9087,5,75c64824a2a4e380,d4f34f97b6d22a81,Open,14621079.278932134,1349,-0.6520183919616486
fe6a1248565333be,4,77c27bf8a409b6bb,28c9c64e5918b06e,Won,259521.87418761576,1737,-0.6518158142847008
dbf2ebe9411c9588,0,94168341f8d9633e,,Open,266260.8990813679,1213,-0.6505923341599185
15639d07863090d8,4,cca8e68b78e095c5,28c9c64e5918b06e,Won,308444.51547976315,1589,-0.6501517961606049
bd42be54085a3b7e,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,1.170863568534039,816,-0.6481781842403003
ce5f3f6bd6cf3a21,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,7876989.285441695,488,-0.647359020352385
cf97d42bf7dc022a,0,3a0b5f22d7e66ffc,,Lost,557449.2948030367,1802,-0.6459329362560294
978fe6c8a47542ca,0,a0d28553c7be77f0,,Won,1711597.3344897556,1209,-0.6458500120863025
81ba9cecfd785b37,4,ca0404ddaade5726,28c9c64e5918b06e,Won,166628.30385115326,1384,-0.6452852137314319
1179061bc012aa52,4,e366e0e543d0c5cd,d4f34f97b6d22a81,Won,35793.332871377235,731,-0.6450078657487326
879184031313ea6a,5,7b7c16a1b24ec3b8,d4f34f97b6d22a81,Lost,98224.59357117486,1583,-0.6447590711910005
a771110e96ac13bf,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,11692.40994069606,1066,-0.6444348982544553
c51dfe64a0daf484,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,4417464.5237711035,749,-0.6441961376487522
3e8bcc0937383c07,4,255414ab73601d72,28c9c64e5918b06e,Won,260464.36845727058,1524,-0.6436708230802795
2a25eb41c6576067,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,1478807.6585938425,1293,-0.6425109704133962
9a5638aab8250065,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,2731288.1790158176,425,-0.6423631324193206
55a46035d8950b6e,3,255414ab73601d72,d4f34f97b6d22a81,Won,463218.90314213035,372,-0.6419915694120997
83ed789e45032c29,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,3593519.80976419,438,-0.6412614704936164
d9e5e021ff09116d,3,6b7e1f5b521de19b,,Won,694810.3085549787,1400,-0.6400738486444086
99c9a64a04eef911,2,6b7e1f5b521de19b,d4f34f97b6d22a81,Lost,255601.53696549984,1568,-0.6397741642887452
3f591703d6d74a00,4,6b7e1f5b521de19b,28c9c64e5918b06e,Lost,35479.77903933452,1175,-0.6386434371300195
4f6653a339dc6281,0,e43bc3ffd79e75b6,,Won,1150877.1913877001,1758,-0.6368755677804927
a618de564bc013d4,3,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,1.170863568534039,1466,-0.6368669363197503
4339de68f8782102,0,4e40b1753336bf63,,Lost,1187910.3043156844,1578,-0.6344321933710684
7d0d6cfdf78b7c74,2,6b7e1f5b521de19b,,Won,24052.770015945276,146,-0.6331819682932632
fc16592d2df77953,0,062b9e5a52eb6d8e,,Open,2521022.25580936,1668,-0.6321270589125406
fec5e79114d877ce,0,8e05397b18bfb06f,,Lost,25102.753943361105,1830,-0.6316946397564609
e99a55dfecae9509,4,fd10c5543bdbcbc9,d4f34f97b6d22a81,Won,15008.963259245464,929,-0.6315640639882147
cbedd408c2aedc32,4,9956141f2229f670,28c9c64e5918b06e,Lost,30427130.541462246,101,-0.6314114088230174
ff8a40205b77bdfc,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,13382197.292350637,348,-0.6310324582873762
ea67b50debdb7e14,4,1bb1bb990c53f4fc,28c9c64e5918b06e,Won,3586769.8787574917,161,-0.6309652446686065
01df881c7601c316,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,13316010.74712687,2090,-0.6308982681593571
f64c9b38e36fe454,0,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,62429.37551060187,1737,-0.6297525828415506
d7bc60dfc89db24c,4,42a0974a7fcfe59f,28c9c64e5918b06e,Won,68975.30735153245,1335,-0.6296875470085651
2262ee3384620595,3,6b7e1f5b521de19b,,Lost,35845.270270304114,1178,-0.6296421584102176
400e760aff22b506,0,674ec33189ed753c,,Won,4041280.531027806,1236,-0.6289891262036253
1a062ef4f2b646ef,4,d94a77dffd98d647,28c9c64e5918b06e,Lost,269462.84165175544,1320,-0.6278836953924635
e8a9a994210aac16,3,674ec33189ed753c,d4f34f97b6d22a81,Lost,12578.355295610221,1823,-0.6277234747417504
33014e4e24f76d15,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,193995.26679755165,1063,-0.6275953258131532
e97ae7d7b5969870,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,1913801.7206140948,1340,-0.6275211531085298
0d2b728d7d8d57e0,4,38080774be85927f,28c9c64e5918b06e,Open,2961926.4376853653,241,-0.6273428447579925
472083578da5084f,2,6b7e1f5b521de19b,,Lost,9648.963805727817,2115,-0.6271490922137396
9d37d6c1345787a3,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,1752712.6397063767,1624,-0.6260516079758695
1b19dfbecf9cf046,3,6b7e1f5b521de19b,d4f34f97b6d22a81,Won,12768.823342259046,264,-0.6260356764066877
2cebf85712b19a43,4,fc3655a0b667e091,28c9c64e5918b06e,Won,375088.6383533601,1032,-0.623889687214976
3210c46de93bf660,0,6b7e1f5b521de19b,,Won,17729279.836305175,731,-0.6237929596010983
d06547dcd949bb20,3,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,133909.93513617528,664,-0.6234628589546383
92fdb61daa45933f,2,fd10c5543bdbcbc9,28c9c64e5918b06e,Lost,1955.8320496747117,1435,-0.6232019338642105
7c994295e810af38,5,532ef57d231b606f,d4f34f97b6d22a81,Lost,31204870.52003334,845,-0.6227803723770884
f11e61a4153be7a7,4,38080774be85927f,d4f34f97b6d22a81,Lost,2162539.896272901,1713,-0.6226763830384153
bce062609c80d477,0,fc3655a0b667e091,,Won,349740.2945198502,1917,-0.6226646481183848
a1998e88e054888f,4,75c64824a2a4e380,28c9c64e5918b06e,Won,1570774.901069991,876,-0.6220239036952878
d6faf14d8c7e67eb,0,6ab36d9b02cbcf6b,,Open,895040.1574346115,1291,-0.6214562210512969
61c7c939555ef8e0,0,062b9e5a52eb6d8e,,Lost,68130.33408842972,1544,-0.6212742614368889
2dd14f2f8b4cd291,4,38080774be85927f,d4f34f97b6d22a81,Won,437850.7761451277,171,-0.6212730711806427
019b79cf05783dd6,0,674ec33189ed753c,,Open,3163431.287434749,1216,-0.6202861292308468
a13a4001d0aba7da,0,674ec33189ed753c,,Open,2997767.3059456446,1216,-0.6202861292308468
20709fce4260f2e4,4,7608f4f5fafe9b10,28c9c64e5918b06e,Lost,7558332.220704882,506,-0.6202815344392656
aa9d262b4406c5c1,1,6b7e1f5b521de19b,,Lost,95518.08801059793,764,-0.6202475529705831
a50deb4382893b62,5,6b7e1f5b521de19b,d4f34f97b6d22a81,Won,31443.26991300905,732,-0.620200249401332
38ab2bb1288cac53,3,255414ab73601d72,d4f34f97b6d22a81,Won,47794.52580399312,390,-0.6194626165566448
b3cf379d9ef0a611,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,939140.2192977304,1089,-0.6191911761807025
6422610c6ba194f2,1,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,1.170863568534039,1022,-0.6189613400523502
b14763d0975f77e9,2,062b9e5a52eb6d8e,,Won,1023596.1414386269,1077,-0.6184973583345068
e8fc78165f14c8c0,0,bed04685c5da8cc2,,Lost,112791.82653213794,1244,-0.6182353303050081
8f9f0ad6c5f66723,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,10580498.890516205,1058,-0.6174117347475135
11d0344e192b1321,4,95a23e7fbcc5841e,28c9c64e5918b06e,Lost,20664.685383866345,1545,-0.6173094684409716
2ca06b546b1c79c7,5,255414ab73601d72,d4f34f97b6d22a81,Won,702468.3657718784,728,-0.6169254595245751
147020dca1de1999,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,6557353.151316263,734,-0.6167985813883209
0cb232ef8eb4ca7e,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,732426.6134825386,1372,-0.6167372810700144
4a8c647f5145adb1,3,6b7e1f5b521de19b,d4f34f97b6d22a81,Lost,158080.80138659832,1120,-0.6164291609812224
42d42e65098d689e,3,062b9e5a52eb6d8e,,Lost,2.4198904513070483,1275,-0.616396313820931
67d96161d63b0453,1,6b7e1f5b521de19b,,Lost,2.4198904513070483,1912,-0.6163022107846192
62d05362bfb18591,5,6b7e1f5b521de19b,d4f34f97b6d22a81,Won,502038.4745511252,1281,-0.6159716735514719
432d4366471d5e39,3,6b7e1f5b521de19b,d4f34f97b6d22a81,Won,367912.4393628379,178,-0.6158939378052715
4cc29d62c95a6317,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,698223.6691064333,1780,-0.6151326537780081
60ccdb6c056da8b6,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,73778.02004721636,1436,-0.6148067104889541
a97285c0ead791b4,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,14220623.292498903,1503,-0.6144963362510895
315531fe1e43080b,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,217319.86056239952,2481,-0.6142391847248688
ec5341691a8558a4,4,255414ab73601d72,28c9c64e5918b06e,Won,760164.698454891,150,-0.6141532240614372
daf273883a71196b,4,38080774be85927f,28c9c64e5918b06e,Won,152059.03276822148,1574,-0.6140776460062796
89adb917e5e523f1,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,7052294.890636508,1207,-0.613845473370928
fa920843cbd53c58,5,a0d28553c7be77f0,28c9c64e5918b06e,Won,52598.30629845027,969,-0.6136804185270359
4228ad85c977d04f,6,6b7e1f5b521de19b,,Open,1536396.5715196466,1564,-0.6136742148548434
74919e90750f39b0,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,2621870.8541915976,979,-0.6135190667508755
0e0ddede1d496929,3,6b7e1f5b521de19b,d4f34f97b6d22a81,Won,9026.846436366468,1939,-0.6131918463176272
2bc1db12081d87d8,0,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,871994.4935811333,1687,-0.6131501809028866
56f58ac11932271a,3,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,111662.27872934208,176,-0.6131393978127566
146509a435a4cd6a,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,133965.54876566964,300,-0.6127680368458835
64b2a46693d3c7fe,4,ffefc275708fbbc3,28c9c64e5918b06e,Open,1182718.90947582,610,-0.6126434983750255
45fc7929554e869d,0,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,398756.66700811725,1373,-0.6125718122112445
f6bb4eb312b16904,6,674ec33189ed753c,,Won,1.170863568534039,118,-0.6125080618946929
75b2b9318108dece,3,6b7e1f5b521de19b,d4f34f97b6d22a81,Won,1.170863568534039,536,-0.6118157544153281
b0f15fe049b7f3c7,5,6b7e1f5b521de19b,28c9c64e5918b06e,Won,82212.06014148686,630,-0.6110586369046703
5a2d0d3434fb3f99,5,6b7e1f5b521de19b,,Open,1.170863568534039,26,-0.6108027777887819
e91f105ee9e60a63,4,ac6153076817c20f,28c9c64e5918b06e,Open,2771714.5816111625,908,-0.6105093830078516
7ed533b8bb597e93,3,6b7e1f5b521de19b,3b7caebd862368af,Won,155599.52652383712,1153,-0.6103615901125548
157053f75466ccfb,4,6b7e1f5b521de19b,28c9c64e5918b06e,Won,1.170863568534039,755,-0.610247625382229
78f56f0ac47ffdbb,6,6b7e1f5b521de19b,,Interrupted,1.170863568534039,668,-0.6100582997297812
dd12a2400f6b9df9,2,6b7e1f5b521de19b,,Lost,25102.753943361105,1119,-0.6096595567595922
50ae151c83cb9389,3,6b7e1f5b521de19b,,Lost,19002.324174295714,1833,-0.6095088674940369
c554eda9db0fade5,4,38080774be85927f,d4f34f97b6d22a81,Lost,1513626.286798211,1714,-0.6094048244039091
f25ecc5877038170,4,255414ab73601d72,28c9c64e5918b06e,Lost,679499.4619610092,1345,-0.6091026705239049
73153abcae95e7df,0,6b7e1f5b521de19b,,Won,12360172.193842031,1058,-0.6087957987792995
42f74c4f4fc42550,1,062b9e5a52eb6d8e,,Open,1411928.4051162004,953,-0.6086534629477758
a9c3205761607f86,1,6b7e1f5b521de19b,,Won,939.3923210404171,680,-0.6085844209677111
132d3942bf64d93e,4,42a0974a7fcfe59f,28c9c64e5918b06e,Lost,11390.615730031446,1577,-0.6083815750856117
7542d4cb08425759,0,674ec33189ed753c,,Won,3004871.187073814,1448,-0.6081039870516423
32275972554db50c,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,2702004.035379516,1163,-0.6080310875068944
0e78104c3abbc81b,4,d80899b211b3d52f,,Won,2002.198340097463,1736,-0.6079817404198055
2b9352ed6bcf65b5,0,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,186555.16774733728,633,-0.6079423723881003
fd93a838f18d38b9,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,557449.2948030367,994,-0.6077223874287202
2c5250acf7a56e0e,5,6b7e1f5b521de19b,d4f34f97b6d22a81,Lost,84.08580196246166,721,-0.6073524806821008
d8d3afd651e32400,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,410419.77357912477,1770,-0.6068334263357447
4f58eb8ea5860adf,4,1bb1bb990c53f4fc,28c9c64e5918b06e,Won,836998.514289371,217,-0.6066956576975001
1498a39bdb98c31a,0,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,142004.09288574892,1436,-0.606217276692756
9dd9f0cb162e2d40,4,fd10c5543bdbcbc9,28c9c64e5918b06e,Won,34706.92483011046,1452,-0.6061430121613363
baf5e8af66ebed50,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,1.170863568534039,645,-0.6056868085682798
e508c4267323f0f0,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,1167845.8621128285,1286,-0.6054427297287973
a99e719959c0c6ad,2,6b7e1f5b521de19b,,Lost,270801.9611719012,1239,-0.6051055874530845
707607f97cfea597,5,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,122948.00245610285,2,-0.6049548650447367
4b751abf8363e517,0,cca8e68b78e095c5,,Won,160898.06544709313,1259,-0.6048125587291453
4d84a9fafd332783,5,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,42595.15305383633,329,-0.6044701687491618
8f385a45675410fd,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,2354478.799735582,846,-0.6043309448637095
eb21e41c317eaea7,4,8f36933a863ddaa7,28c9c64e5918b06e,Won,269628.21933408733,249,-0.6040982536075744
23ecb06798640b30,4,255414ab73601d72,28c9c64e5918b06e,Won,446329.1651196296,344,-0.6038662589120432
5547482c147dae6a,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,1400207.1675609974,1497,-0.6038293731695554
ef446be8aab82c4b,1,6b7e1f5b521de19b,,Open,555117.7933282302,1037,-0.6036921845753229
3272b83a471b2680,5,6b7e1f5b521de19b,,Open,275.92792463156036,1494,-0.6034945955437225
9678b86323d21154,0,b8c72b3789899516,,Won,2173.7645394804485,1002,-0.6033116980383608
3c15b0e0191956f1,2,6b7e1f5b521de19b,,Lost,1.170863568534039,680,-0.6032186324756428
a2f7060aa0b0d975,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,5363106.1477796445,309,-0.6029735424445614
9ba0fdbc703c9087,0,6b7e1f5b521de19b,,Won,553359.6104508667,377,-0.6028909350003109
97b445a1cf095111,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,57494014.21743915,181,-0.6026372640081328
f4eb930e23bec468,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,104841.49114987592,1828,-0.6018720733986729
debcf450f724619b,5,6b7e1f5b521de19b,d4f34f97b6d22a81,Lost,382384.03368255624,1073,-0.6018250607788133
c187b7007357e8f0,4,255414ab73601d72,,Lost,1.170863568534039,1074,-0.6018084510821445
51d9bdd3009ebaad,5,7b7c16a1b24ec3b8,28c9c64e5918b06e,Won,1499938.6628812603,253,-0.6017875197940356
2dcdc170040f4fbd,0,e366e0e543d0c5cd,,Won,1275976.0252819066,806,-0.6017108707096397
0e3c534cac26e052,4,b8c72b3789899516,,Lost,186555.16774733728,988,-0.6016645818797536
2d20884298d7b50b,4,3d151c683a3b4a85,28c9c64e5918b06e,Lost,1438852.5046152773,940,-0.6015605458985147
09fb7bbf6d74ba1f,2,6b7e1f5b521de19b,,Open,1.170863568534039,412,-0.6014406164964412
bf216d5de8b2c251,2,6b7e1f5b521de19b,,Open,1.170863568534039,412,-0.6014406164964412
baee162e43e907ff,2,6b7e1f5b521de19b,,Open,1.170863568534039,412,-0.6014406164964412
49e259f30c058fb9,2,6b7e1f5b521de19b,,Open,1.170863568534039,412,-0.6014406164964412
a0ae0ab440a781ab,3,6b7e1f5b521de19b,d4f34f97b6d22a81,Won,137474.88965703856,211,-0.6012384201364117
051129d67f5cd4fe,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,28033.64304539493,1195,-0.6012133334809763
c3efed2499cc2eb7,0,062b9e5a52eb6d8e,,Won,733207.7110627095,1194,-0.6011645943389459
9f9d8f94dba0a70f,3,6b7e1f5b521de19b,,Won,8342.688652667997,787,-0.6009957164695101
72496940137a6d0c,1,6b7e1f5b521de19b,,Open,53263.666600240846,274,-0.6009451854893905
0dacc281f09991c3,0,674ec33189ed753c,,Won,840054.8984803831,1223,-0.6008516359304548
da949c4ac76f6794,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,5992162.783213773,784,-0.6005847021748714
0c54e2c50c57bd62,5,6b7e1f5b521de19b,d4f34f97b6d22a81,Won,86378.13108821627,891,-0.6004847749185416
2aeb7dec34915c40,2,6b7e1f5b521de19b,,Open,1.170863568534039,397,-0.6004594495001594
04e4067488b99383,2,6b7e1f5b521de19b,,Open,1.170863568534039,397,-0.6004594495001594
54fd4b85902c2030,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,7575502.193683344,547,-0.600372853237008
597aa25c0c7a7bbd,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,60743.43333245342,265,-0.6003703526384347
47c848820e8e1f84,0,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,180154.82370488072,1259,-0.6001382724419256
f391046c33253ab1,4,d1650c60f1f48b67,d4f34f97b6d22a81,Lost,42337.86154734802,1320,-0.6000542369084774
4b02ca23839186a6,6,674ec33189ed753c,,Open,976618.5275111411,497,-0.5998092518659284
3104a2b3829cf401,2,6b7e1f5b521de19b,,Open,1.170863568534039,412,-0.5996760287197868
294b9a6e7bc6c414,5,062b9e5a52eb6d8e,6f9a9c5f2856c8b3,Won,46693.41903549922,736,-0.5996556007591293
5822ac6e8c83bf2d,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,1579758.8383427588,1282,-0.5995831909716058
c87579d2272ee200,3,6b7e1f5b521de19b,d4f34f97b6d22a81,Won,155286.97682021814,294,-0.5992286706365292
60050ab92c51433e,0,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,302280.0520528225,1141,-0.5991931980967953
fd7050f61af25727,5,255414ab73601d72,28c9c64e5918b06e,Lost,6913.847280935987,1697,-0.5986421608154092
976a1d4dd94ec32c,4,75c64824a2a4e380,28c9c64e5918b06e,Won,681381.9150812024,865,-0.5986249825625205
d91a053849fc04ee,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,5546778.4834566,1360,-0.5985591181603275
f1ff25582dd66a2d,0,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,467015.81419022416,622,-0.5982204478866907
1631621432916595,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,1097819.6409763473,292,-0.598167639461767
5ba08a90e4a14b67,1,255414ab73601d72,6f9a9c5f2856c8b3,Won,212169.013845158,954,-0.5981527158777448
774d5abdf9612be9,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,1.170863568534039,230,-0.5981473302956545
ca68b50dde1701a2,3,6b7e1f5b521de19b,d4f34f97b6d22a81,Won,72708.65097490816,746,-0.598064202802517
3ccf651d218e9851,4,062b9e5a52eb6d8e,28c9c64e5918b06e,Open,2048530.9937409502,873,-0.5977889027797375
1af5b7a45f87ae98,4,fd10c5543bdbcbc9,d4f34f97b6d22a81,Won,38445.19842132812,457,-0.5970328232787901
61dbd356678ab993,4,ac07a4f1ad9a4f67,28c9c64e5918b06e,Won,205.7595478949111,2178,-0.5969125395902892
bc4a213da325d485,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,79234.37956077493,1463,-0.5968455842783422
a1e373d434f57196,3,6b7e1f5b521de19b,,Lost,9648.963805727817,2162,-0.5967935308021576
374e123b360b4349,5,255414ab73601d72,d4f34f97b6d22a81,Won,168427.7785192529,218,-0.5967741393555112
d1c4a1fb7a10e78e,2,6b7e1f5b521de19b,,Open,1.170863568534039,431,-0.5960564165404878
93cd058325ad1201,4,d1650c60f1f48b67,28c9c64e5918b06e,Won,1.170863568534039,576,-0.5959566835335421
694d4f9145b5f267,0,674ec33189ed753c,,Won,1768879.8107249306,1038,-0.5955810458984548
018f28f5a8a1adf1,3,6b7e1f5b521de19b,,Lost,1287.0828528119127,1630,-0.5955487134024504
772697848bae8b1b,6,6b7e1f5b521de19b,,Won,15382760.552465929,852,-0.5953718947140313
b42632041ffba6c3,4,7608f4f5fafe9b10,28c9c64e5918b06e,Lost,61212.826167669984,685,-0.5953546750387219
26b19aa0a21e785c,4,7545e34e09ae9cad,28c9c64e5918b06e,Won,1908415.4772685936,605,-0.5951616618463001
5b65f5dfa6a83825,6,6b7e1f5b521de19b,,Interrupted,9613.520807251396,956,-0.5950910861127339
2d502eaf868dd221,2,255414ab73601d72,28c9c64e5918b06e,Lost,839.2664647182377,1354,-0.5949937756884623
6c78b3743af2c6ff,0,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,91102.55385385372,1582,-0.5948811375906818
e0c5ecd93bb5eec9,3,6b7e1f5b521de19b,,Lost,89664.46366676311,1805,-0.5948617114842443
9001a9a1f5bdc69e,4,506023b3e03cfab3,28c9c64e5918b06e,Won,14261.13702831341,1507,-0.5947860083554201
2475c265ae73a5d4,0,e9943875f43f341e,,Open,7897468.885291627,187,-0.5944805888325095
e247d8062e29e930,5,6b7e1f5b521de19b,d4f34f97b6d22a81,Lost,32707.63216840872,1269,-0.5944645585182793
0d25a46a63c76831,4,77c27bf8a409b6bb,28c9c64e5918b06e,Lost,8740352.703989249,850,-0.5940439786185404
ab7d3dce440e79c6,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,211310.75209176037,630,-0.5938097261310489
9133f433cae6b3c3,2,6b7e1f5b521de19b,d4f34f97b6d22a81,Lost,36146.75979273336,1169,-0.5935377725598103
ec7f17fc83765066,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Won,1747632.9874784218,1211,-0.5935150797127183
3fa2c714ec5953e2,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,643.2026543289824,1237,-0.593433403257537
14ebcd660bcdfff1,4,fd10c5543bdbcbc9,d4f34f97b6d22a81,Lost,4652.2583887045585,1119,-0.5933191220002023
88d7762566630498,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Lost,27049.492659777403,1372,-0.5932890336297916
11eb84e492fb2d19,0,48deb34ff5cdd785,,Lost,5423.6519717503215,971,-0.5931698542891841
