chance_id,shap_rank,feature,shap_value,feature_val
00f1e37e810a271a,5,update_intensity,0.5280319,10.0
00f2665ec46579df,1,probability,-4.6976066,10.0
00f2665ec46579df,2,stage_x_prob,0.881227,40.0
00f2665ec46579df,3,prob_x_closing_rate,0.7583216,6.944971537001897
00f2665ec46579df,4,push_ratio,0.68823344,0.0
00f2665ec46579df,5,prob_volatility,-0.60974044,0.0
00f8be2260929821,1,probability,-3.232921,80.0
00f8be2260929821,2,prob_x_closing_rate,2.5236125,45.7243195785777
00f8be2260929821,3,stage_x_prob,2.0487998,320.0
00f8be2260929821,4,push_ratio,0.6965828,0.0
00f8be2260929821,5,update_intensity,0.52164847,10.0
010892986982669c,1,probability,-4.6669693,60.0
010892986982669c,2,prob_x_closing_rate,2.6240375,46.24454148471615
010892986982669c,3,stage_x_prob,0.74910545,180.0
010892986982669c,4,push_ratio,0.7152001,0.0
010892986982669c,5,update_intensity,0.5905873,10.0
010978d972a1937f,1,probability,-4.7407794,50.0
010978d972a1937f,2,prob_x_closing_rate,2.375284,34.17218543046358
010978d972a1937f,3,stage_x_prob,0.72145975,150.0
010978d972a1937f,4,push_ratio,0.68227214,0.0
010978d972a1937f,5,prob_volatility,-0.5684217,0.0
010c6e0b9ae07253,1,probability,-5.122059,1.0
010c6e0b9ae07253,2,prob_x_closing_rate,-2.4991918,0.0
010c6e0b9ae07253,3,stage_x_prob,-1.5319506,3.0
010c6e0b9ae07253,4,customer_win_ratio,-0.5591933,0.0
010c6e0b9ae07253,5,deal_share_rep,-0.43668544,0.07692307692307693
013825ce6d9ea318,1,probability,-4.4017615,40.0
013825ce6d9ea318,2,prob_x_closing_rate,2.440655,33.55855855855856
013825ce6d9ea318,3,stage_x_prob,0.8370554,160.0
013825ce6d9ea318,4,push_ratio,0.7528257,0.0
013825ce6d9ea318,5,update_intensity,0.59924054,10.0
0148e465addc6420,1,probability,-5.0639906,10.0
0148e465addc6420,2,prob_x_closing_rate,-0.74908334,5.036231884057971
