chance_id,business_unit,org_country,pricelist,org_business_en,org_category_en,final_status,final_amount,final_probability,days_active,cluster,cluster_label
64ff9f88f9a120c2,4928d3c96935fb3f,6b7e1f5b521de19b,,338dd2a5ce2c3592,Customer,Won,3202.7203213536054,100,57.10747685185185,2,C2: High-Win
64ffac698e6db170,a66943a59bca7bfd,6828ce51082c111b,28c9c64e5918b06e,24077eefce35726f,Customer,Won,4304.200032389833,100,2110.165011574074,3,C3: Large Open
64ffe9e33c8c4883,1cdd086394501fee,6b7e1f5b521de19b,6f9a9c5f2856c8b3,b1846e9ec48c0e17,Customer,Won,3694.6307115886602,100,408.8043865740741,0,C0: High-Win
6502bac16522b9fa,a66943a59bca7bfd,7b7c16a1b24ec3b8,d4f34f97b6d22a81,af7126f372a9b494,Customer,Open,24787.47916419369,10,0.014247685185185184,3,C3: Large Open
650744735fd43fa9,1cdd086394501fee,6b7e1f5b521de19b,,af7126f372a9b494,Customer,Won,1144404.0685798144,100,631.9890277777778,0,C0: High-Win
650acb0477524d16,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,,Customer,Interrupted,1.170863568534039,10,477.146412037037,1,C1: Active Pipeline
650c3542e58e6fe5,9387d1da6d5967e1,6b7e1f5b521de19b,,1e71b872ea2c50f7,Customer,Won,10526.446098625254,100,112.09798611111111,2,C2: High-Win
650e7eff93f52af6,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,af7126f372a9b494,Prospective customer,Won,382.1736538518626,100,1.1798032407407408,0,C0: High-Win
6511810f47f76685,9387d1da6d5967e1,6b7e1f5b521de19b,,c1f3c619f48b0ee8,Prospective customer,Lost,80872.05936290111,0,393.0183449074074,3,C3: Large Open
6516540fdde2cb31,4928d3c96935fb3f,6b7e1f5b521de19b,6f9a9c5f2856c8b3,,Customer,Won,609.207969734855,100,0.04732638888888889,0,C0: High-Win
651b60a227276cde,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,af7126f372a9b494,Customer,Lost,2009.9207975056422,0,71.07950231481482,3,C3: Large Open
651c665a0c524e9d,1cdd086394501fee,6b7e1f5b521de19b,,2f2113180ffe9b1c,Customer,Won,80931.98294125586,100,139.90064814814815,0,C0: High-Win
65207ea7ea0fafaf,ef9b14cf5a29c54a,6b7e1f5b521de19b,,73d7b60b8cbbd973,Reseller - customer,Won,320070.2098226506,100,293.55462962962963,2,C2: High-Win
6522749fc1611e29,6befd145c261113d,6b7e1f5b521de19b,6f9a9c5f2856c8b3,b1846e9ec48c0e17,Customer,Won,1348.086249413214,100,48.857395833333335,2,C2: High-Win
652350dde3020032,6befd145c261113d,6b7e1f5b521de19b,,2f2113180ffe9b1c,Customer,Won,28033.352531405413,100,67.85208333333334,2,C2: High-Win
