chance_id,business_unit,org_country,pricelist,status,amount,probability,deal_age,pred_win_prob_cal,pred_win_prob_p05,pred_win_prob_p95,expected_rev,rev_p05,rev_p95
001e303a87a7e2be,5,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,1831.3315201273049,40,0,0.00028759543783962727,0.03218713700771332,0.49544216692447635,0.5266825903605225,58.94531854488147,907.3188566889672
001e7a5151ff24c0,5,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,15972.889957950816,10,0,0.0,0.04634985700249672,0.6803045034408569,0.0,740.3411654676362,10866.42897135918
003ba2054d7d12e2,3,6b7e1f5b521de19b,,Open,5904.2113289495155,10,0,0.0,0.0001803189908969216,0.02951313126832245,0.0,1.064641428878349,174.2517639872036
003c407f17a994b6,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,1.170863568534039,60,197,0.0028538778424263,0.0022234616917558014,0.03303554523736238,0.0033415015947434812,0.002603370290907929,0.03868011638508579
00431ebe041c5df6,4,38080774be85927f,28c9c64e5918b06e,Open,1.170863568534039,30,0,0.0,0.021761182229965925,0.48005520403385143,0.0,0.025479375481297417,0.5620791492884114
00498009cd467686,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,4528.9743595906375,90,0,0.24313344210386276,0.9853904664516449,0.9999426424503326,1101.1451252474092,4462.808156744558,4528.714588718865
004ddea55262ae2c,4,b4d1bda83fb7745f,28c9c64e5918b06e,Open,59820.408923654235,10,0,0.0,0.00017166263569379225,0.031512607913464274,0.0,10.268929064114936,1885.0970916342153
0064bd4b26020ee8,3,6b7e1f5b521de19b,,Open,25102.753943361105,10,0,0.0,0.00016037751629482955,0.002239901351276785,0.0,4.025917329596492,56.22769247850318
0070efc1485bb975,5,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,48317.27233820542,10,290,0.0,0.00021612299824482763,0.008186272950842972,0.0,10.442473764744829,395.53837960076436
007595db7bd39f16,4,75c64824a2a4e380,28c9c64e5918b06e,Open,1317635.614295442,70,0,0.0030671000480651856,0.3170315742492676,0.9741336196660995,4041.32025593795,417732.0930869847,1283553.1503545833
009f69464f862cc7,3,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,76633.73658175819,30,0,0.0,0.020067546889185904,0.40294109582901,0.0,1537.8511021479535,30878.881795725334
00a32d492f662e26,2,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,8436.024219032613,10,0,0.0,0.0007876468356698752,0.5726731926202773,0.0,6.644607781755468,4831.084922535388
00a71a2e37b27bfd,3,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,9548.177348327423,97,570,0.9997202754020691,0.6631132513284683,0.9998750746250152,9545.506488257688,6331.522925710231,9546.984538691762
00c3cd238d17934c,2,6b7e1f5b521de19b,,Open,1.170863568534039,10,0,0.0,0.0001517322256404441,0.00199686344130896,0.0,0.00017765773517498237,0.0023380546547661705
00e228ee65aea17e,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,98.49392076768089,10,13,0.0,0.0012534625420812517,0.44072494208812707,0.0,0.12345844030500669,43.408727526368736
00e65fc58d537ad8,2,6b7e1f5b521de19b,d4f34f97b6d22a81,Open,2786.403823325963,50,0,0.0033946341136470437,0.3724789172410965,0.9518556177616119,9.458821473058864,1037.8766791089063,2652.2541325852517
00ea9a17f341e152,3,6b7e1f5b521de19b,,Open,21273.147061594493,70,0,0.0011274410819169134,0.3124168172478676,0.9618750721216202,23.984219938901703,6646.088897829178,20462.109864125036
00f1e37e810a271a,2,6b7e1f5b521de19b,6f9a9c5f2856c8b3,Open,1.170863568534039,70,0,0.015932779386639596,0.21021104156970977,0.9608511596918106,0.018655110929306416,0.24612845027756758,1.125025617666823
